signalname,pub_year,n_j,mean_m,sd_m,sharpe_m,sharpe_ann,frontier_at_nj,margin,censored
PredictedFE,1998,312,-0.0365800091543549,4.13869944537666,-0.0088385275705918,-0.0306175576327269,1.1383037907342661,-1.1689213483669931,False
Price,1973,612,0.3285472199342003,7.247341781432843,0.0453334794801473,0.1570397794869927,0.799710241642706,-0.6426704621557133,False
PriceDelayRsq,2005,224,-0.2528296676408409,3.588643504101177,-0.0704527121046997,-0.2440553537927254,1.356080312272593,-1.6001356660653185,False
PriceDelaySlope,2005,224,-0.1107179700039521,2.7809269918391775,-0.0398133321474679,-0.1379174281960597,1.356080312272593,-1.4939977404686529,False
PriceDelayTstat,2005,224,-0.1063260935640824,2.7680072685125374,-0.0384125051886946,-0.1330648212656446,1.356080312272593,-1.4891451335382377,False
ProbInformedTrading,2002,132,0.3670228518079031,9.467213040303468,0.0387677820542779,0.1342955364295327,1.7836659216344297,-1.649370385204897,False
RD,2001,276,0.223830888845122,5.649728531556952,0.0396179900671154,0.1372407433800061,1.2100106941676176,-1.0727699507876116,False
RDAbility,2013,132,0.2125948308822641,3.1274268997182664,0.0679775539762146,0.2354811545221191,1.7836659216344297,-1.5481847671123106,False
RDIPO,2006,216,0.6988447543508298,3.5676209296814965,0.1958853723882654,0.6785668348720509,1.3932616696084048,-0.7146948347363539,False
RDS,2011,156,-0.103338828504811,1.957694086506705,-0.0527859941024841,-0.1828560474270673,1.672121849626994,-1.8549778970540614,False
